trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.5, 'e': 0.500708706245853}",30,0,-70.32065109467187,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.4982051627146237}",20,0,-42.77248647726641,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.49571413690105054}",20,0,-11.593861236799187,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.4932355662165453}",25,0,-89.75197255047307,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.4907693883854626}",30,0,-49.85421878975288,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.4883155414435353}",30,0,-193.80442903583779,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
144,False,"{'a': 0.5, 'e': 0.4858739637363176}",20,0,-31.759588028271537,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.483444593917636}",20,10,-2.138919454943042,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.4810273709480478}",20,4,-7.048012966184249,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.47862223409330756}",20,0,-21.617140551068584,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.47622912292284103}",20,3,-36.697116568013506,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.4738479773082268}",30,12,-20.65991156586496,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.47147873742168567}",30,10,-14.309231896473204,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.46912134373457726}",25,7,-44.42522593051451,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.46677573701590436}",20,7,-80.52376081347565,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
153,False,"{'a': 0.5, 'e': 0.46444185833082485}",30,0,-41.801583602369334,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.46211964903917074}",20,0,5.851384155233662,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.4598090507939749}",25,13,22.037717987726886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.457510005540005}",20,8,6.72380894736887,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.45522245551230495}",30,0,-32.523653437893216,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.4529463432347434}",20,0,-64.98981343125165,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.4506816115185697}",20,0,-52.552461737302735,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.4484282034609769}",20,0,-104.73090338694998,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.446186062443672}",25,17,-5.503832842624819,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.4439551321314536}",25,12,-11.897410490981255,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.4417353564707963}",20,7,8.950361762282142,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.43952667968844233}",25,16,5.264183130465302,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.43732904629000013}",20,11,6.8634079551336695,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.4351424010585501}",20,0,-35.71992835042352,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.43296668905325736}",20,15,3.7990525528764314,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.43080185560799106}",30,0,-58.67982602418421,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.4286478463299511}",25,0,-25.47897641538268,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.42650460709830135}",25,0,-24.57940566592249,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.42437208406280985}",25,8,-10.280986483027975,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.4222502236424958}",20,1,7.801194577507337,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.42013897252428334}",25,0,-85.14918387859062,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.4180382776616619}",20,10,-39.92861587387477,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
